,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
65,14551,Anthony Santander,BAL,27,0.263,0.342,0.463,0.807,623993,110,Martin Perez,0,Globe Life Field,14,527048,2.85,7.94,7.81,1.18,.235,0.5,0.25,0.75,0.25,0.75,True
66,17907,Brendan Rodgers,COL,25,0.285,0.333,0.436,0.7829999999999999,663898,115,Blake Snell,0,Petco Park,31,605483,3.96,7.56,11.77,1.33,.226,0.667,0.333,0.333,0.25,0.75,True
67,11477,Christian Yelich,MIL,30,0.256,0.361,0.382,0.779,592885,158,Tyler Beede,0,PNC Park,10,595881,3.49,7.91,6.05,1.32,.230,0.4,0.4,0.4,0.5,0.5,True
68,14854,Mike Yastrzemski,SFG,31,0.225,0.321,0.409,0.797,573262,137,Julio Urias,1,Oracle Park,9,628711,2.49,6.97,8.58,0.97,.210,0.0,0.25,0.0,0.2,0.0,False
69,19997,Santiago Espinal,TOR,27,0.263,0.313,0.378,0.8490000000000001,669289,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.0,0.333,0.0,0.0,0.333,False
70,15491,J.P. Crawford,SEA,27,0.254,0.333,0.353,0.877,641487,136,Gerrit Cole,0,Yankee Stadium,6,543037,3.38,7.03,11.58,1.02,.211,0.0,0.0,0.0,0.25,0.0,True
71,13613,Ketel Marte,ARI,28,0.258,0.341,0.438,0.8059999999999999,606466,109,Shane Bieber,0,Progressive Field,7,669456,3.21,7.86,9.16,1.09,.233,0.25,0.0,0.0,0.25,0.0,False
72,14162,Carlos Correa,MIN,27,0.263,0.339,0.425,0.7809999999999999,621043,142,Tyler Alexander,1,Target Field,26,641302,3.83,8.94,4.74,1.20,.262,0.0,0.333,0.0,0.2,0.0,True
73,11445,Mark Canha,NYM,33,0.262,0.366,0.366,0.789,592192,121,Anibal Sanchez,0,Nationals Park,29,434671,7.20,10.20,6.60,1.60,.286,0.4,0.6,0.2,0.25,0.0,False
75,16997,Gleyber Torres,NYY,25,0.249,0.302,0.441,0.7340000000000001,650402,147,Luis Castillo,1,Yankee Stadium,6,622491,1.84,4.91,9.20,0.89,.163,0.0,0.0,0.0,0.2,0.4,False
77,19326,Bryan Reynolds,PIT,27,0.253,0.338,0.441,0.753,668804,134,Freddy Peralta,1,PNC Park,10,642547,4.37,7.42,10.84,1.14,.219,0.0,0.0,0.0,0.0,0.0,True
78,18171,Seth Brown,OAK,29,0.235,0.293,0.455,0.733,664913,133,Shohei Ohtani,0,Angel Stadium,4,660271,2.68,7.22,12.73,1.05,.214,0.0,0.0,0.5,0.5,0.0,True
79,5038,Josh Donaldson,NYY,36,0.226,0.308,0.395,0.698,518626,147,Luis Castillo,1,Yankee Stadium,6,622491,1.84,4.91,9.20,0.89,.163,0.667,0.333,0.0,0.0,0.2,False
80,8709,Elvis Andrus,OAK,33,0.237,0.298,0.365,0.807,462101,133,Shohei Ohtani,0,Angel Stadium,4,660271,2.68,7.22,12.73,1.05,.214,0.75,0.0,0.25,0.75,0.0,False
81,5297,Aaron Hicks,NYY,32,0.223,0.345,0.312,0.7609999999999999,543305,147,Luis Castillo,1,Yankee Stadium,6,622491,1.84,4.91,9.20,0.89,.163,0.0,0.0,0.0,0.0,0.0,False
84,21618,Alec Bohm,PHI,25,0.292,0.327,0.408,0.8,664761,143,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,.230,0.0,0.8,0.0,0.4,0.4,True
87,18564,Trent Grisham,SDP,25,0.197,0.296,0.365,0.773,663757,135,Chad Kuhl,1,Petco Park,31,641771,5.16,9.70,6.64,1.52,.273,0.333,0.5,0.333,0.333,0.25,True
88,19610,Keibert Ruiz,WSN,23,0.245,0.304,0.356,0.8590000000000001,660688,120,Chris Bassitt,1,Nationals Park,29,605135,3.39,7.75,8.93,1.12,.230,0.25,0.0,0.25,0.25,0.2,True
89,19339,Nicky Lopez,KCR,27,0.243,0.298,0.287,0.84,670032,118,Lance Lynn,0,Guaranteed Rate Field,23,458681,5.88,9.96,9.35,1.29,.269,0.333,0.667,0.0,0.333,0.25,False
90,19238,Lourdes Gurriel Jr.,TOR,28,0.306,0.358,0.417,0.7959999999999999,666971,141,Jalen Beeks,0,Tropicana Field,21,656222,2.35,7.24,10.76,1.20,.219,0.5,0.25,0.333,0.0,0.333,True
