,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
29,29,29,29,29,29,35,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Framber Valdez,1.0,Chase Field,13.0,664285,2.87,7.13,8.0,1.15,0.217,0.333,0.0,0.0,0.0,0.0,True
30,30,30,30,30,30,36,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Kyle Hendricks,1.0,PNC Park,10.0,543294,4.8,9.07,7.04,1.29,0.26,0.25,0.4,0.5,0.0,0.0,True
31,31,31,31,31,31,37,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Max Scherzer,1.0,Citizens Bank Park,16.0,453286,1.98,6.49,11.29,0.9,0.2,0.0,0.25,0.0,0.667,0.667,False
32,32,32,32,32,32,38,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Zach Thompson,0.0,PNC Park,10.0,605507,5.08,9.66,6.18,1.47,0.269,0.667,0.667,0.75,0.0,0.0,False
33,33,33,33,33,33,39,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.5,0.25,0.0,0.0,0.0,True
34,34,34,34,34,34,40,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Dallas Keuchel,0.0,Guaranteed Rate Field,23.0,572971,9.64,13.02,8.68,1.82,0.329,0.333,0.0,0.0,0.6,0.5,True
35,35,35,35,35,35,41,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Clayton Kershaw,1.0,Target Field,26.0,477132,2.64,7.28,9.28,0.98,0.218,0.0,0.75,0.25,1.0,0.0,False
36,36,36,36,36,36,42,12856,George Springer,TOR,32,0.251,0.331,0.464,0.733,543807,141,Gerrit Cole,0.0,Yankee Stadium,6.0,543037,3.38,7.03,11.58,1.02,0.211,0.5,0.6,0.4,0.4,0.0,True
37,37,37,37,37,37,44,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Jose Berrios,1.0,Yankee Stadium,6.0,621244,5.19,9.92,8.16,1.35,0.275,0.25,0.0,0.333,0.25,0.333,True
38,38,38,38,38,38,45,9241,Starling Marte,NYM,33,0.292,0.344,0.458,0.775,516782,121,Aaron Nola,0.0,Citizens Bank Park,16.0,605400,3.17,7.28,9.77,0.95,0.219,0.0,0.25,0.0,0.4,0.2,True
