,Unnamed: 0,Unnamed: 0.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
83,83,94,6153,Eduardo Escobar,NYM,33,0.22,0.273,0.39,0.753,500871,121,Daniel Castano,0,loanDepot park,20,641447,4.04,10.6,5.05,1.43,0.292,0.25,0.0,0.25,0.25,0.333,False
84,84,95,15223,Adam Frazier,SEA,30,0.243,0.306,0.31,0.878,624428,136,Andrew Wantz,0,Angel Stadium,4,681806,2.87,7.76,8.33,1.18,0.233,0.0,0.0,0.25,0.0,0.0,True
85,85,96,11265,Jonathan Schoop,DET,30,0.203,0.238,0.31,0.7559999999999999,570731,116,Dallas Keuchel,0,Chase Field,13,572971,9.64,13.02,8.68,1.82,0.329,0.0,0.333,0.25,0.25,0.25,True
86,86,97,19290,Randy Arozarena,TBR,27,0.256,0.317,0.416,0.7240000000000001,668227,139,Roansy Contreras,1,Tropicana Field,21,672710,3.78,8.46,9.0,1.38,0.244,0.8,0.25,0.25,0.25,0.0,False
87,87,98,17027,Alex Verdugo,BOS,26,0.272,0.312,0.389,0.863,657077,111,Aaron Civale,0,Progressive Field,7,650644,6.17,10.67,8.67,1.46,0.295,0.333,0.4,0.25,0.25,0.25,True
88,88,99,13301,Max Muncy,LAD,31,0.178,0.316,0.349,0.753,571970,119,Spencer Strider,0,Truist Park,12,675911,3.11,6.02,13.85,1.05,0.185,0.0,0.0,0.75,0.25,0.2,False
89,89,100,7802,Miguel Rojas,MIA,33,0.233,0.282,0.335,0.852,500743,146,David Peterson,1,loanDepot park,20,656849,3.3,7.18,10.37,1.28,0.22,0.0,0.25,0.5,0.25,0.5,True
90,90,101,26197,Andrew Vaughn,CHW,24,0.298,0.348,0.464,0.826,683734,145,Jordan Lyles,1,Guaranteed Rate Field,23,543475,4.35,10.01,7.25,1.44,0.279,0.0,0.0,0.2,0.6,0.2,False
91,91,103,12979,Javier Baez,DET,29,0.22,0.262,0.372,0.674,595879,116,Dallas Keuchel,0,Chase Field,13,572971,9.64,13.02,8.68,1.82,0.329,0.25,0.25,0.667,0.6,0.5,False
92,92,104,15679,Rowdy Tellez,MIL,27,0.238,0.323,0.475,0.797,642133,158,Jose Berrios,1,American Family Field,18,621244,5.19,9.92,8.16,1.35,0.275,0.0,0.0,0.5,0.0,0.25,True
93,93,105,10681,Gio Urshela,MIN,30,0.262,0.304,0.423,0.807,570482,142,Ryan Feltner,1,Target Field,26,663372,6.02,10.1,7.96,1.42,0.28,0.0,0.0,0.333,0.75,0.0,True
94,94,106,13590,Jesse Winker,SEA,28,0.229,0.348,0.363,0.815,608385,136,Andrew Wantz,0,Angel Stadium,4,681806,2.87,7.76,8.33,1.18,0.233,0.5,0.75,0.0,0.5,0.5,False
95,95,107,16512,Isiah Kiner-Falefa,NYY,27,0.268,0.312,0.315,0.892,643396,147,Jose Urquidy,1,Yankee Stadium,6,664353,3.85,8.52,7.09,1.16,0.245,0.0,0.25,0.0,0.5,0.2,True
96,96,108,7859,Charlie Blackmon,COL,35,0.263,0.314,0.446,0.816,453568,115,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.0,0.0,0.0,0.2,0.25,True
97,97,109,24655,Owen Miller,CLE,25,0.238,0.296,0.359,0.8370000000000001,680911,114,Rich Hill,1,Progressive Field,7,448179,4.75,9.39,6.84,1.35,0.266,0.25,0.0,0.25,0.4,0.0,True
98,98,110,9847,Andrew McCutchen,MIL,35,0.255,0.325,0.4,0.804,457705,158,Jose Berrios,1,American Family Field,18,621244,5.19,9.92,8.16,1.35,0.275,0.333,0.333,0.5,0.5,0.0,True
99,99,111,16572,Connor Joe,COL,29,0.246,0.347,0.363,0.809,656582,115,Joe Ryan,0,Target Field,26,657746,3.95,7.71,8.75,1.13,0.226,0.0,0.667,0.5,0.25,0.0,True
100,100,113,14894,Tony Kemp,OAK,30,0.212,0.285,0.3,0.8740000000000001,643393,133,Brady Singer,0,Kauffman Stadium,5,663903,3.49,8.36,9.18,1.15,0.248,0.6,0.333,0.0,0.0,0.0,False
101,101,115,11342,Jesus Aguilar,MIA,32,0.241,0.287,0.391,0.745,542583,146,David Peterson,1,loanDepot park,20,656849,3.3,7.18,10.37,1.28,0.22,0.25,0.0,0.667,0.25,0.5,True
102,102,116,10556,Cesar Hernandez,WSN,32,0.238,0.302,0.303,0.8109999999999999,514917,120,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.0,0.25,0.333,0.2,0.25,True
103,103,117,19198,Yuli Gurriel,HOU,38,0.238,0.287,0.38,0.86,493329,117,Nestor Cortes,0,Yankee Stadium,6,641482,2.57,6.91,9.24,1.02,0.208,1.0,0.25,0.25,0.0,0.0,True
104,104,118,18607,Jared Walsh,LAA,28,0.225,0.27,0.392,0.753,665120,108,Marco Gonzales,1,Angel Stadium,4,594835,3.98,9.63,5.21,1.39,0.274,0.25,0.0,0.5,0.25,0.25,True
105,105,120,4314,Joey Votto,CIN,38,0.215,0.331,0.389,0.725,458015,113,Anthony DeSclafani,0,Oracle Park,9,543101,6.63,16.11,8.05,2.0,0.4,0.0,0.333,0.0,0.5,0.25,True
106,106,121,2434,Nelson Cruz,WSN,41,0.233,0.318,0.342,0.7020000000000001,443558,120,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.333,0.25,0.0,0.25,0.25,True
107,107,122,12179,Maikel Franco,WSN,29,0.229,0.256,0.338,0.742,596748,120,Glenn Otto,0,Globe Life Field,14,657248,5.31,8.19,7.38,1.41,0.247,0.0,0.0,0.667,0.0,0.5,False
108,108,123,1744,Miguel Cabrera,DET,39,0.268,0.317,0.331,0.7440000000000001,408234,116,Dallas Keuchel,0,Chase Field,13,572971,9.64,13.02,8.68,1.82,0.329,0.25,0.25,0.25,0.75,0.0,True
109,109,124,11737,Nick Castellanos,PHI,30,0.257,0.305,0.381,0.6970000000000001,592206,143,Yu Darvish,0,Petco Park,31,506433,3.28,7.24,8.84,1.0,0.217,0.25,0.0,0.25,0.0,0.0,True
110,110,125,10324,Marcell Ozuna,ATL,31,0.213,0.264,0.388,0.742,542303,144,Tony Gonsolin,1,Truist Park,12,664062,2.3,5.66,8.37,0.89,0.178,0.333,0.0,0.0,0.5,0.2,True
