,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,IDfg,Name,Team,Age,AVG,OBP,SLG,Contact% (pi),BatterIDs,TeamIDs,Pitchers,Home,Ballpark,BallparkNumber,PitcherIDs,era,h9,k9,whip,avg,Game 1,Game 2,Game 3,Game 4,Game 5,TestLabels
19,19,19,19,19,21,15676,Jose Abreu,CHW,35,0.297,0.375,0.464,0.794,547989,145,Jordan Montgomery,1,Guaranteed Rate Field,23,656756,0.0,3.6,1.8,0.6,0.125,0.0,0.0,0.0,0.0,0.25,True
20,20,20,20,20,22,19352,Sean Murphy,OAK,27,0.245,0.32,0.43,0.775,669221,133,Jhonathan Diaz,1,Oakland Coliseum,19,646242,2.93,7.63,6.46,1.5,0.236,0.0,0.333,0.0,0.333,0.25,False
21,21,21,21,21,23,18036,Jake Cronenworth,SDP,28,0.237,0.34,0.388,0.846,630105,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,0.167,0.0,0.6,0.0,0.333,True
22,22,22,22,22,24,22581,Alejandro Kirk,TOR,23,0.305,0.388,0.461,0.86,672386,141,Ryan Yarbrough,0,Tropicana Field,21,642232,5.08,9.85,6.35,1.36,0.277,0.0,0.5,0.333,0.0,0.0,False
23,23,23,23,23,25,11609,Willson Contreras,CHC,30,0.253,0.364,0.463,0.711,575929,112,Zac Gallen,0,Chase Field,13,668678,3.12,6.62,8.67,1.02,0.203,0.0,0.667,0.667,0.75,0.333,False
24,24,24,24,24,27,19611,Vladimir Guerrero Jr.,TOR,23,0.287,0.359,0.504,0.7829999999999999,665489,141,Ryan Yarbrough,0,Tropicana Field,21,642232,5.08,9.85,6.35,1.36,0.277,0.25,0.25,0.333,0.25,0.25,True
25,25,25,25,25,29,17678,Alex Bregman,HOU,28,0.251,0.356,0.422,0.86,608324,117,Erick Fedde,0,Nationals Park,29,607200,4.95,9.32,6.8,1.54,0.269,0.333,0.0,0.5,0.667,0.333,False
26,26,26,26,26,30,16505,Matt Chapman,TOR,29,0.242,0.322,0.474,0.735,656305,141,Ryan Yarbrough,0,Tropicana Field,21,642232,5.08,9.85,6.35,1.36,0.277,0.333,0.0,0.0,0.0,0.0,False
27,27,27,27,27,31,18345,Kyle Tucker,HOU,25,0.242,0.332,0.449,0.8059999999999999,663656,117,Erick Fedde,0,Nationals Park,29,607200,4.95,9.32,6.8,1.54,0.269,0.0,0.333,0.5,0.5,0.0,True
28,28,28,28,28,32,10815,Jurickson Profar,SDP,29,0.252,0.344,0.416,0.831,595777,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,0.2,0.5,0.4,0.0,0.25,False
29,29,29,29,29,33,15986,Willy Adames,MIL,26,0.224,0.289,0.463,0.726,642715,158,Trevor Rogers,0,loanDepot park,20,669432,5.85,10.16,8.52,1.6,0.283,0.0,0.0,0.25,0.0,0.0,True
30,30,30,30,30,34,19918,Daulton Varsho,ARI,25,0.239,0.314,0.431,0.7809999999999999,662139,109,Kyle Hendricks,1,Chase Field,13,543294,4.8,9.07,7.04,1.29,0.26,0.333,0.0,0.5,0.25,0.25,True
31,31,31,31,31,35,17548,Taylor Ward,LAA,28,0.274,0.365,0.465,0.7829999999999999,621493,108,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,0.255,0.25,0.5,0.5,0.25,0.0,True
32,32,32,32,32,36,18577,Ke'Bryan Hayes,PIT,25,0.248,0.32,0.358,0.818,663647,134,Luis Castillo,1,PNC Park,10,622491,1.84,4.91,9.2,0.89,0.163,0.5,0.333,0.0,0.5,0.6,False
33,33,33,33,33,37,16472,Rhys Hoskins,PHI,29,0.253,0.344,0.496,0.7609999999999999,656555,143,Julio Urias,0,Dodger Stadium,17,628711,2.49,6.97,8.58,0.97,0.21,0.167,0.2,0.5,0.25,0.6,True
34,34,34,34,34,38,17919,Ian Happ,CHC,27,0.276,0.356,0.432,0.7490000000000001,664023,112,Zac Gallen,0,Chase Field,13,668678,3.12,6.62,8.67,1.02,0.203,0.0,0.0,0.4,0.5,0.0,True
35,35,35,35,35,39,12552,Eugenio Suarez,SEA,30,0.227,0.329,0.415,0.677,553993,136,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.25,0.0,0.4,0.0,0.0,True
36,36,36,36,36,40,17982,Ty France,SEA,27,0.298,0.368,0.463,0.838,664034,136,Chris Bassitt,0,Citi Field,22,605135,3.39,7.75,8.93,1.12,0.23,0.333,0.5,0.667,0.0,0.2,True
37,37,37,37,37,41,18568,Luis Arraez,MIN,25,0.329,0.394,0.436,0.932,650333,142,Shane Bieber,1,Target Field,26,669456,3.21,7.86,9.16,1.09,0.233,0.0,0.667,0.5,0.25,0.0,True
38,38,38,38,38,44,27506,Ha-seong Kim,SDP,26,0.248,0.326,0.37,0.83,673490,135,Charlie Morton,0,Truist Park,12,450203,4.26,7.63,10.35,1.21,0.23,0.6,0.25,0.0,0.0,0.0,False
39,39,39,39,39,45,3473,Anthony Rizzo,NYY,32,0.227,0.347,0.511,0.8,519203,147,Dallas Keuchel,0,Guaranteed Rate Field,23,572971,9.64,13.02,8.68,1.82,0.329,0.2,0.333,0.0,0.25,0.0,True
40,40,40,40,40,46,19755,Shohei Ohtani,LAA,27,0.256,0.348,0.501,0.741,660271,108,Paul Blackburn,0,Oakland Coliseum,19,621112,4.28,8.89,7.19,1.26,0.255,0.0,0.25,0.4,0.75,0.25,True
41,41,41,41,41,47,20043,Luis Robert,CHW,24,0.298,0.334,0.453,0.755,673357,145,Jordan Montgomery,1,Guaranteed Rate Field,23,656756,0.0,3.6,1.8,0.6,0.125,0.5,0.2,0.5,0.25,0.25,True
